id;size;price;price_m2;location;address;street;number;address_geopy;lat;long;hhSize;hhF;hhM;title;link;timestamp;inactive-stamp;active
7444262;20;350.0;17.5;Petershausen-West;Steinstraße 17a, Konstanz;Steinstraße;17a;17a, Steinstraße, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.6736893;9.17896469064943;4.0;0.0;2.0;+++ 2 Zimmer zur Zwischenmiete in der Jägerkaserne +++;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7444262.html;20190723-0650;;True
5692314;15;200.0;13.333333333333336;Allmannsdorf;Mainaustraße 78, Konstanz;Mainaustraße;78;Corps Saxonia, 78, Mainaustraße, Allmannsdorf, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78464, Deutschland;47.6745185;9.1974015;8.0;0.0;4.0;Helle Zimmer im 1./2. OG des Tannenhofs frei!, Lage zentral, m,19-23, uni;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Allmannsdorf.5692314.html;20190723-0650;;True
7444235;16;300.0;18.75;Königsbau;Jacob-Burckhardt-Straße 4, Konstanz;Jacob-Burckhardt-Straße;4;Sonenbühl West I, 4, Jacob-Burckhardt-Straße, Königsbau, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78464, Deutschland;47.681668200000004;9.1846543341796;4.0;1.0;2.0;Furnished room at Sonnenbühl West I;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Koenigsbau.7444235.html;20190723-0650;20190826-2050;False
7444159;12;340.0;28.33333333333333;Allmannsdorf;Mainaustraße 141, Konstanz;Mainaustraße;141;141, Mainaustraße, Allmannsdorf, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78464, Deutschland;47.680831;9.20169856794802;4.0;0.0;3.0;WG-Zimmer in 4er-WG in Allmannsdorf mit großem Balkon;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Allmannsdorf.7444159.html;20190723-0650;;True
7443752;12;350.0;29.16666666666667;Altstadt;Hüetlinstraße, Konstanz;Hüetlinstraße;;Hüetlinstraße, Altstadt, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.6567051;9.1733975;4.0;2.0;1.0;Zwischen Miete für August;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Altstadt.7443752.html;20190723-0650;;True
7372925;16;340.0;21.25;Petershausen-Ost;Mainaustr. 7a, Konstanz;Mainaustr.;7a;7a, Mainaustraße, Petershausen-Ost, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78464, Deutschland;47.66866810000001;9.181444789054767;3.0;2.0;0.0;Sternenplatz-WG sucht klasse Mitbewohner-/in zur Zwischenmiete;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7372925.html;20190723-0650;20191021-0850;False
7317024;12;350.0;29.16666666666667;Königsbau;Jacob-Burckhardt-Str. 35, Konstanz;Jacob-Burckhardt-Str.;35;Sonnenbühl Ost Hochhaus, 35, Jacob-Burckhardt-Straße, Königsbau, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78464, Deutschland;47.68077260000001;9.19012443164491;4.0;1.0;1.0;Möbiliertes WG Zimmer in Seezeit Anlage zur Zwischenmiete;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Sonnenbuehl.7317024.html;20190723-0650;20190822-2050;False
7170526;20;370.0;18.5;Paradies;Fuerstengutweg 7, Konstanz;Fuerstengutweg;7;7, Fürstengutweg, Paradies, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.66688335;9.166381739867038;2.0;0.0;0.0;2 er WG nähe Fachhochschule;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Paradies.7170526.html;20190723-0650;20190908-1250;False
7417935;12;400.0;33.333333333333336;Altstadt;Obere Laube 48, Konstanz;Obere Laube;48;inpuncto Küchen, 48, Obere Laube, Altstadt, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.659368;9.1703904;3.0;0.0;1.0;Zwei Zimmer in Altstadt-Wg;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Altstadt.7417935.html;20190723-0650;20190922-2050;False
6582548;15;493.0;32.86666666666667;Industriegebiet;Max-Stromeyerstr. 118, Konstanz;Max-Stromeyerstr.;118;118, Max-Stromeyer-Straße, Oberlohn, Konstanz-Industriegebiet, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.67504535;9.166234147634269;3.0;0.0;2.0;tolles Zimmer in 3er-WG in Petershausen möbliert und Vollausstattung ab 1.9.;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.6582548.html;20190723-0650;20190727-1650;False
7340856;11;335.0;30.45454545454545;Kreuzlingen;Hauptstrasse 121, Kreuzlingen;Hauptstrasse;121;121, Hauptstrasse, Gaissberg, Bernrainzelg, Kreuzlingen, Bezirk Kreuzlingen, Thurgau, 8280, Schweiz/Suisse/Svizzera/Svizra;47.6438927;9.182145951830847;4.0;1.0;2.0;WG-Zimmer in Kreuzlingen - Schweiz;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7340856.html;20190723-0650;20190731-0850;False
7443609;16;450.0;28.125;Altstadt;Hofhalde 5, Konstanz;Hofhalde;5;5, Hofhalde, Altstadt, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.66217520000001;9.176457110824687;2.0;0.0;1.0;Sehr schönes Zimmer in der Altstadt zu vermieten;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Altstadt.7443609.html;20190723-0650;;True
7425374;27;420.0;15.555555555555555;Petershausen-West;Bruder-Klaus-Straße, Konstanz;Bruder-Klaus-Straße;;Bruder-Klaus-Straße, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.672725899999996;9.1748996;3.0;2.0;0.0;Schönes WG-Zimmer zur Zwischenmiete;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7425374.html;20190723-0650;20190815-1650;False
7388014;10;300.0;30.0;Fürstenberg;Fürstenbergstraße 12, Konstanz;Fürstenbergstraße;12;12, Fürstenbergstraße, Fürstenberg, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.687126;9.1499500139834;3.0;0.0;2.0;10qm Zimmer in 3er WG frei;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Wollmatingen.7388014.html;20190723-0650;20190811-1650;False
7404502;17;420.0;24.70588235294117;Petershausen-West;Alemannenstr. 1, Konstanz;Alemannenstr.;1;1, Alemannenstraße, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.67121735;9.17218672989927;3.0;0.0;2.0;möbiliertes WG-Zimmer, 17qm, Top-Lage;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7404502.html;20190723-0650;20190801-2050;False
7296469;12;450.0;37.5;Fürstenberg;Chérisy Straße 2, Konstanz;Chérisy Straße;2;2, Cherisy-Straße, Fürstenberg, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.6796484;9.163245199999999;3.0;2.0;0.0;Konstanz - Fürstenberg möbliertes Zimmer zur Zwischenmiete;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Fuerstenberg.7296469.html;20190723-0650;20190922-2050;False
7155322;11;300.0;27.272727272727273;Petershausen-Ost;Zähringerplatz 22, Konstanz;Zähringerplatz;22;22, Zähringerplatz, Petershausen-Ost, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78464, Deutschland;47.67278085;9.1840436768899;2.0;1.0;0.0;WG-Zimmer am Zähringerplatz sucht nette Mitbewohnerin;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7155322.html;20190723-0650;20190729-2050;False
7443141;17;525.0;30.882352941176467;Petershausen-West;Sankt-Gebhard Str., Konstanz;Sankt-Gebhard Str.;;Sankt-Gebhard-Straße, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.6718408;9.1761195;4.0;1.0;1.0;2 Zimmer zur Zwischenmiete  in einer 4er WG;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7443141.html;20190723-0650;;True
6863268;20;330.0;16.5;Altstadt;Untere Laube 10, Konstanz;Untere Laube;10;10, Untere Laube, Altstadt, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.6641909;9.17299375;5.0;0.0;2.0;5er WG für Jungs mit grossen Zimmern ab 325 € warm;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Paradies.6863268.html;20190723-0650;;True
6228408;18;270.0;15.0;Kreuzlingen;Löwenstraße 30, Konstanz;Löwenstraße;30;;;;4.0;0.0;3.0;Hübsches Zimmer in Kreuzlingen Altbau-Löwenstrasse ab 1.August;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Kreuzlingen.6228408.html;20190723-0650;20190821-1250;False
6453312;27;580.0;21.48148148148148;Petershausen-West;St.-Gebhard-Str. 3, Konstanz;St.-Gebhard-Str.;3;3, Sankt-Gebhard-Straße, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.67049045;9.175679181284538;3.0;0.0;2.0;Dein möbliertes WG-Zimmer (27qm) in 3er-WG - Petershausen - tolle Lage;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.6453312.html;20190723-0650;20190730-1250;False
7442215;23;370.0;16.08695652173913;Petershausen-West;Goethestr. 19, Konstanz;Goethestr.;19;19, Goethestraße, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.67878620000001;9.17736294741335;3.0;0.0;2.0;Großes WG-Zimmer in ruhiger Lage und guter Anbindung zu Universität und Hochschule;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7442215.html;20190723-0650;20190802-0850;False
7397253;28;497.0;17.75;Petershausen-West;Bruder-Klaus-Straße 1, Konstanz;Bruder-Klaus-Straße;1;1, Bruder-Klaus-Straße, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.6722326;9.17567972797336;3.0;2.0;0.0;Großes WG-Zimmer mit Balkon in Konstanz-Petershausen zur Zwischenmiete;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7397253.html;20190723-0650;20190810-2050;False
7414835;20;415.0;20.75;Industriegebiet;Reichenaustraße, Konstanz;Reichenaustraße;;Reichenaustraße, Industriegebiet, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.684074;9.1300806;3.0;0.0;2.0;Helles 20m² Zimmer in Petershausen 3er WG;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7414835.html;20190723-0650;20190729-1650;False
7441854;17;300.0;17.647058823529417;Petershausen-West;Steinstraße 17, Konstanz;Steinstraße;17;17, Steinstraße, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.67349895;9.179444025960779;7.0;3.0;3.0;Dachgeschoss-Zimmer in der Jägerkaserne wird frei!;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7441854.html;20190723-0650;;True
7442650;14;385.0;27.5;Altstadt;Niederburggasse 9, Konstanz;Niederburggasse;9;9, Niederburggasse, Altstadt, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.66552995;9.17585205606821;5.0;2.0;2.0;*ZWISCHENMIETE* möbliertes Altstadt-Zimmer (5er WG)!;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Niederburg.7442650.html;20190723-0650;;True
7367996;23;467.0;20.30434782608696;Altstadt;Brauneggerstraße 11, Konstanz;Brauneggerstraße;11;SWK A 119, 11, Brauneggerstraße, Altstadt, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.6639713;9.1704436;4.0;1.0;2.0;Paradiesisches Zimmer zur Zwischenmiete (möbliert);https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Paradies.7367996.html;20190723-0650;20190808-1650;False
7371077;20;390.0;19.5;Petershausen-West;markgrafenstraße 20, Konstanz;markgrafenstraße;20;20, Markgrafenstraße, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.67164885;9.17674315447867;3.0;1.0;1.0;Tolles Zimmer in 3er WG;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7371077.html;20190723-0650;20190811-1250;False
7431556;20;460.0;23.0;Altstadt;münsterplatz, Konstanz;münsterplatz;;Münsterplatz, Altstadt, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.663590899999996;9.1751839;3.0;2.0;0.0;wunderschönes 20qm Zimmer in der Altstadt;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Altstadt.7431556.html;20190723-0650;20190825-2050;False
7372869;16;390.0;24.375;Wollmatingen;Engelsteig, Konstanz;Engelsteig;;Engelsteig, Wollmatingen, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.6922456;9.1448709;5.0;2.0;2.0;Zimmer auf Zeit in netter 5er WG;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Wollmatingen.7372869.html;20190723-0650;20190730-1250;False
7412856;22;470.0;21.363636363636363;Altstadt;Kreuzlingerstraße, Konstanz;Kreuzlingerstraße;;Kreuzlinger Straße, Altstadt, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.65742520000001;9.171282199999998;5.0;2.0;2.0;WG Zimmer für den Sommer;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Altstadt.7412856.html;20190723-0650;20190826-2050;False
7386001;21;470.0;22.380952380952376;Altstadt;Brauneggerstraße 11, Konstanz;Brauneggerstraße;11;SWK A 119, 11, Brauneggerstraße, Altstadt, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.6639713;9.1704436;4.0;2.0;1.0;Voll möbliertes 21qm Zimmer im Herzen von Konstanz;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Altstadt.7386001.html;20190723-0650;;True
7432716;27;580.0;21.48148148148148;Petershausen-West;St.-Gebhard-Straße 3, Konstanz;St.-Gebhard-Straße;3;3, Sankt-Gebhard-Straße, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.67049045;9.175679181284538;3.0;0.0;2.0;Suche Nachmieter für mein Zimmer in einer schönen, möblierten WG (ab sofort und unbefristet);https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7432716.html;20190723-0650;20190808-2050;False
7379924;15;465.0;31.0;Altstadt;Muntpratstraße 11, Konstanz;Muntpratstraße;11;11, Muntpratstraße, Altstadt, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.66308215;9.16867702375997;2.0;0.0;1.0;Möbliertes 15qm Zimmer in 2er WG im Paradies (zur Zwischenmiete);https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Paradies.7379924.html;20190723-0650;20190726-1250;False
7442111;15;330.0;22.0;Petershausen-West;Hindenburgstrasse 5, Konstanz;Hindenburgstrasse;5;Seezeit Wohnanlage Seerhein, 5, Hindenburgstraße, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.67169205;9.17093325;4.0;2.0;1.0;Zimmer in 4 WG apartment in seerhein from 22.07.2019;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Litzelstetten.7442111.html;20190723-0650;20190828-1250;False
7424153;16;385.0;24.0625;Altstadt;Untere Laube 49, Konstanz;Untere Laube;49;Dischinger, 49, Untere Laube, Altstadt, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.66127585;9.17228261305542;7.0;1.0;5.0;Zimmer in 7-er WG  (frei ab August, offiziell ab September);https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Altstadt.7424153.html;20190723-0650;;True
6954519;12;395.0;32.916666666666664;Paradies;Wallgutstraße, Konstanz;Wallgutstraße;;Wallgutstraße, Paradies, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.6642659;9.1691623;3.0;1.0;1.0;Zimmer in 3er-WG im wunderschönen Paradies;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Paradies.6954519.html;20190723-0650;20190810-1250;False
6277114;15;450.0;30.0;Paradies;Brüelstr. ..., Konstanz;Brüelstr. ...;;Brüelstraße, Paradies, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.6641998;9.1656624;2.0;0.0;1.0;Möbliertes Zimmer im Paradies;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Paradies.6277114.html;20190723-0650;20190817-2050;False
6741303;16;283.0;17.6875;Petershausen-West;Steinstraße 17A, Konstanz;Steinstraße;17A;17a, Steinstraße, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.6736893;9.17896469064943;5.0;1.0;3.0;schönes Zimmer in Jägerkaserne vom 1.9. bis 31.3.;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.6741303.html;20190723-0650;20190810-1250;False
7361949;14;230.0;16.428571428571427;Altstadt;Inselgasse, Konstanz;Inselgasse;;Inselgasse, Altstadt, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.664385700000004;9.1769423;3.0;0.0;2.0;teilmöbiliertes 14 qm Zimmer inmitten der Altstadt;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Paradies.7361949.html;20190723-0650;20191014-2050;False
7441659;17;375.0;22.058823529411764;Petershausen-West;Alter Wall, Konstanz;Alter Wall;;Alter Wall, Petershausen-Ost, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78464, Deutschland;47.669369;9.182374900000001;4.0;1.0;2.0;WG-Zimmer in 4er WG ab August in großer Altbauwohnung am Zähringer zur Zwischenmiete mit wahrscheinlicher Verlängerung bis Sep 2020;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7441659.html;20190723-0650;20190822-2050;False
6480092;17;435.0;25.588235294117645;Paradies;Mangoldstr. 26, Konstanz;Mangoldstr.;26;26, Mangoldstraße, Paradies, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.66505095;9.16353494325946;3.0;1.0;1.0;Schönes, helles Zimmer in 3er-WG im Paradies;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Paradies.6480092.html;20190723-0650;20190728-0850;False
7441429;16;388.0;24.25;Petershausen-West;Theodor-Heuss-Straße, Konstanz;Theodor-Heuss-Straße;;Theodor-Heuss-Straße, Petershausen-West, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78467, Deutschland;47.6703442;9.182333400000001;3.0;0.0;2.0;15qm Zimmer mit top Lage ab sofort zu haben!;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Petershausen.7441429.html;20190723-0650;;True
6863247;20;330.0;16.5;Altstadt;Untere Laube 10, Konstanz;Untere Laube;10;10, Untere Laube, Altstadt, Konstanz, Verwaltungsgemeinschaft Konstanz, Landkreis Konstanz, Regierungsbezirk Freiburg, Baden-Württemberg, 78462, Deutschland;47.6641909;9.17299375;5.0;0.0;2.0;5er WG für Jungs mit grossen Zimmern ab 330 € warm;https://www.wg-gesucht.de/wg-zimmer-in-Konstanz-Paradies.6863247.html;20190723-0650;;True
